Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	168.20249	60.18659	47.77686	12.40973	0.32129	0.00000
0001	157.48830	39.13776	39.73526	-0.59750	0.45996	0.48730
0002	173.58115	57.72723	45.31060	12.41663	0.25098	0.00000
0003	198.88452	75.75996	47.93456	27.82540	0.00000	0.00000
0004	147.92934	26.15325	35.63075	-9.47750	0.57715	0.86035
0005	186.40944	38.80884	32.35090	6.45794	0.07910	0.00000
0006	241.91017	67.76581	32.95144	34.81437	0.00000	0.00000
0007	198.37728	46.44463	33.18615	13.25848	0.00000	0.00000
0008	170.64345	35.12996	34.44519	0.68477	0.29004	0.25488
0009	125.26045	49.75793	53.10031	-3.34238	0.80176	0.87598
0010	174.65708	31.54735	31.76971	-0.22235	0.23535	0.24707
0011	207.61162	72.53233	44.36283	28.16950	0.00000	0.00000
0012	138.98065	44.48529	49.24037	-4.75508	0.67480	0.81738
0013	169.64191	50.55194	42.45159	8.10035	0.30176	0.00000
0014	174.48622	45.20631	40.97312	4.23319	0.23926	0.01465
0015	139.67873	39.24655	44.40455	-5.15800	0.66699	0.82129
0016	155.23946	28.53442	34.99512	-6.46070	0.48926	0.73340
0017	133.82879	61.04244	57.17820	3.86423	0.72559	0.57910
0018	182.94699	47.04736	37.74337	9.30399	0.12598	0.00000
0019	235.59501	62.68974	32.34722	30.34253	0.00000	0.00000
0020	151.77963	45.03023	44.10616	0.92407	0.53027	0.48926
0021	132.45808	44.36089	48.98323	-4.62234	0.73926	0.85840
0022	227.27737	62.80433	34.51588	28.28846	0.00000	0.00000
0023	172.42186	49.51480	41.19781	8.31699	0.26660	0.00000
0024	149.64769	38.21746	41.45795	-3.24049	0.55566	0.68066
0025	158.87213	38.04087	39.42773	-1.38686	0.44238	0.50488
0026	160.99284	45.72855	42.15731	3.57124	0.41504	0.23535
0027	208.01561	46.28365	30.70045	15.58320	0.00000	0.00000
0028	170.18940	50.86200	43.21158	7.65042	0.29590	0.00000
