Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	273.63229	69.57487	60.10551	9.46936	0.00000	0.00000
0001	211.28202	56.34213	68.57462	-12.23249	0.00000	0.36035
0002	234.87449	55.05140	61.87995	-6.82855	0.00000	0.00000
0003	189.08021	57.20065	74.46181	-17.26115	0.04395	0.76074
0004	227.72784	49.22044	60.86485	-11.64441	0.00000	0.13574
0005	213.60627	37.04814	58.15202	-21.10388	0.00000	0.67285
0006	223.28040	45.57942	60.02633	-14.44691	0.00000	0.31738
0007	199.96650	56.17965	71.70979	-15.53015	0.00000	0.61426
0008	208.16319	40.47759	61.22168	-20.74408	0.00000	0.70801
0009	187.30715	47.22565	69.88790	-22.66225	0.06738	0.88184
0010	214.35713	45.38475	62.57800	-17.19325	0.00000	0.53027
0011	208.30456	46.93812	65.85239	-18.91427	0.00000	0.65137
0012	187.88616	46.75929	69.44044	-22.68115	0.05957	0.87988
0013	212.43172	47.80353	64.02508	-16.22155	0.00000	0.51465
0014	263.15770	61.00015	58.16148	2.83868	0.00000	0.00000
0015	216.00798	37.43584	58.78480	-21.34896	0.00000	0.65918
0016	244.29720	50.92405	58.44913	-7.52507	0.00000	0.00000
0017	240.21818	36.63970	51.32033	-14.68063	0.00000	0.12793
0018	226.54634	57.44124	65.15297	-7.71173	0.00000	0.00000
0019	216.38240	51.76232	64.97966	-13.21734	0.00000	0.34473
0020	265.01110	48.87801	51.43685	-2.55884	0.00000	0.00000
0021	250.52085	44.25265	52.53557	-8.28292	0.00000	0.00000
0022	197.42383	47.87069	68.00661	-20.13592	0.00000	0.77246
0023	252.51751	36.89016	49.70711	-12.81694	0.00000	0.00000
0024	231.23272	42.70974	56.71905	-14.00932	0.00000	0.20410
0025	235.95519	50.07835	59.08161	-9.00327	0.00000	0.00000
0026	229.24608	53.91527	63.93582	-10.02054	0.00000	0.04004
0027	249.02484	62.92067	62.56543	0.35524	0.00000	0.00000
0028	204.32025	55.42138	70.56792	-15.14654	0.00000	0.55762
0029	221.68447	51.51886	63.36217	-11.84331	0.00000	0.21777
0030	253.32378	48.12888	55.02358	-6.89469	0.00000	0.00000
0031	244.28976	49.25366	57.96583	-8.71217	0.00000	0.00000
