Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	375.91275	41.58581	76.11706	-34.53124	0.00000	0.00000
0001	332.50645	59.44766	95.88067	-36.43302	0.00000	0.05762
0002	348.82602	49.24776	88.55165	-39.30390	0.00000	0.00684
0003	335.73993	67.57245	99.37073	-31.79828	0.00000	0.00000
0004	304.51915	46.91124	97.09629	-50.18505	0.00000	0.76270
0005	340.10947	46.97001	88.26667	-41.29666	0.00000	0.17480
0006	390.77096	58.02675	80.60962	-22.58288	0.00000	0.00000
0007	376.43742	67.51579	90.66240	-23.14661	0.00000	0.00000
0008	417.43821	52.69618	71.50189	-18.80571	0.00000	0.00000
0009	348.66580	49.87192	87.46317	-37.59125	0.00000	0.00000
0010	367.42932	46.93686	81.03306	-34.09620	0.00000	0.00000
0011	313.70648	43.38020	92.52852	-49.14832	0.00000	0.67676
0012	377.75874	42.75313	76.32723	-33.57410	0.00000	0.00000
0013	299.88918	47.63683	98.23461	-50.59777	0.00000	0.79590
0014	324.74046	50.70674	93.41920	-42.71246	0.00000	0.38184
0015	397.86099	60.42205	79.99942	-19.57737	0.00000	0.00000
0016	282.66669	42.74412	100.05306	-57.30893	0.00000	0.94434
0017	347.28679	43.18665	84.48483	-41.29818	0.00000	0.10254
0018	316.94200	72.07063	106.79034	-34.71970	0.00000	0.14746
0019	364.23757	50.89414	84.64873	-33.75459	0.00000	0.00000
0020	341.95756	64.31729	96.91100	-32.59370	0.00000	0.00000
0021	332.97854	39.30093	85.84287	-46.54194	0.00000	0.44043
0022	404.90595	76.50050	86.48865	-9.98815	0.00000	0.00000
0023	346.12895	58.77424	93.12393	-34.34969	0.00000	0.00000
0024	346.94165	56.69729	91.14256	-34.44527	0.00000	0.00000
0025	386.31579	52.49608	79.42555	-26.92947	0.00000	0.00000
0026	325.64858	53.29594	94.49344	-41.19749	0.00000	0.31543
0027	338.36437	40.65160	85.07234	-44.42074	0.00000	0.31348
0028	376.00175	40.59854	75.82196	-35.22343	0.00000	0.00000
0029	441.73463	56.54439	67.13049	-10.58610	0.00000	0.00000
0030	359.77198	60.57241	89.69308	-29.12068	0.00000	0.00000
0031	316.13591	27.93299	84.89714	-56.96415	0.00000	0.82715
0032	357.18614	51.59749	85.76888	-34.17139	0.00000	0.00000
0033	388.43617	65.08530	85.18456	-20.09926	0.00000	0.00000
0034	340.68357	50.84576	91.74772	-40.90196	0.00000	0.15332
0035	313.11539	55.65790	99.36446	-43.70656	0.00000	0.52246
0036	325.11180	40.89571	88.43190	-47.53619	0.00000	0.54199
0037	369.10369	74.26419	96.17959	-21.91540	0.00000	0.00000
0038	328.50702	54.36584	94.30855	-39.94271	0.00000	0.23926
0039	322.34720	52.05872	94.69998	-42.64125	0.00000	0.40137
0040	315.86555	56.91735	100.22162	-43.30427	0.00000	0.48535
0041	398.68126	57.98585	79.04255	-21.05670	0.00000	0.00000
0042	362.30880	45.99991	81.98474	-35.98483	0.00000	0.00000
0043	345.59835	46.44212	86.34500	-39.90288	0.00000	0.06348
0044	329.50895	39.49389	87.01219	-47.51830	0.00000	0.50488
0045	356.80650	51.05902	90.29557	-39.23656	0.00000	0.00000
