Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	59.78821	60.18659	15.34543	44.84116	0.99902	0.00000
0001	39.13086	39.13776	9.78962	29.34814	0.99902	0.68457
0002	57.11269	57.72723	14.89272	42.83452	0.99902	0.00000
0003	75.27855	75.75996	19.30105	56.45891	0.99316	0.00000
0004	26.15033	26.15325	6.54050	19.61275	0.99902	0.99316
0005	38.78117	38.80884	9.72297	29.08588	0.99902	0.70410
0006	67.74365	67.76581	16.95807	50.80774	0.99707	0.00000
0007	46.39832	46.44463	11.64589	34.79874	0.99902	0.15918
0008	35.11781	35.12996	8.79160	26.33836	0.99902	0.86426
0009	49.75503	49.75793	12.44166	37.31627	0.99902	0.00000
0010	31.29675	31.54735	8.07479	23.47256	0.99902	0.95410
0011	71.60319	72.53233	18.82994	53.70239	0.99512	0.00000
0012	40.06952	44.48529	14.43315	30.05214	0.99902	0.62988
0013	50.44975	50.55194	12.71463	37.83731	0.99902	0.00000
0014	40.29327	45.20631	14.98636	30.21995	0.99902	0.61621
0015	38.91464	39.24655	10.06057	29.18598	0.99902	0.69629
0016	28.52888	28.53442	7.13776	21.39666	0.99902	0.98340
0017	59.88407	61.04244	16.12938	44.91305	0.99902	0.00000
0018	46.20448	47.04736	12.39400	34.65336	0.99902	0.17480
0019	61.95755	62.68974	16.22158	46.46816	0.99902	0.00000
0020	45.02832	45.03023	11.25899	33.77124	0.99902	0.27051
0021	43.59628	44.36089	11.66368	32.69721	0.99902	0.38184
0022	62.00823	62.80433	16.29816	46.50617	0.99902	0.00000
0023	49.49305	49.51480	12.39501	37.11979	0.99902	0.00000
0024	37.76517	38.21746	9.89358	28.32388	0.99902	0.75684
0025	36.86021	38.04087	10.39571	27.64516	0.99902	0.79785
0026	45.71606	45.72855	11.44151	34.28705	0.99902	0.21387
0027	46.22859	46.28365	11.61221	34.67144	0.99902	0.17285
0028	49.27614	50.86200	13.90490	36.95711	0.99902	0.00000
0029	55.16007	55.66413	14.29408	41.37005	0.99902	0.00000
0030	55.30358	55.30525	13.82757	41.47769	0.99902	0.00000
0031	61.06920	61.54615	15.74425	45.80190	0.99902	0.00000
0032	25.75696	29.89554	10.57782	19.31772	0.99902	0.99512
0033	57.53480	58.17053	15.01943	43.15110	0.99902	0.00000
0034	64.47839	64.48095	16.12216	48.35880	0.99707	0.00000
0035	43.63796	43.67894	10.95047	32.72847	0.99902	0.37988
0036	32.22139	32.72084	8.55480	24.16604	0.99902	0.93848
0037	54.68242	54.69837	13.68656	41.01182	0.99902	0.00000
0038	41.92010	42.82888	11.38881	31.44007	0.99902	0.50684
0039	47.03666	47.04073	11.76324	35.27750	0.99902	0.10645
0040	33.29114	33.77693	8.80858	24.96836	0.99902	0.91699
0041	56.49510	56.69263	14.32130	42.37132	0.99902	0.00000
0042	49.97004	50.01419	12.53666	37.47753	0.99902	0.00000
0043	31.76252	32.25115	8.42926	23.82189	0.99902	0.94629
0044	37.00597	37.27657	9.52209	27.75448	0.99902	0.79199
0045	46.76294	46.84925	11.77705	35.07220	0.99902	0.12793
0046	36.12710	36.17722	9.08190	27.09532	0.99902	0.82910
0047	60.03702	60.16514	15.13738	45.02776	0.99902	0.00000
0048	40.92021	41.89453	11.20437	30.69016	0.99902	0.57520
0049	41.24101	41.61016	10.67940	30.93076	0.99902	0.55371
0050	39.72240	40.73907	10.94727	29.79180	0.99902	0.64941
0051	68.94385	68.95146	17.24357	51.70789	0.99707	0.00000
0052	49.35536	49.44702	12.43050	37.01652	0.99902	0.00000
0053	41.48813	41.48824	10.37214	31.11609	0.99902	0.53613
0054	46.11922	47.13615	12.54674	34.58941	0.99902	0.18066
0055	76.45628	76.52617	19.18396	57.34221	0.99121	0.00000
0056	74.36282	77.08967	21.31756	55.77212	0.99316	0.00000
0057	66.92265	67.64451	17.45252	50.19199	0.99707	0.00000
0058	53.99268	54.66179	14.16728	40.49451	0.99902	0.00000
0059	73.17033	73.36042	18.48267	54.87775	0.99512	0.00000
0060	34.15183	34.22369	8.60982	25.61387	0.99902	0.89355
0061	55.58185	56.66938	14.98299	41.68639	0.99902	0.00000
0062	44.08231	45.51044	12.44871	33.06173	0.99902	0.34473
0063	65.49274	65.50593	16.38637	49.11956	0.99707	0.00000
0064	55.13658	56.40830	15.05586	41.35243	0.99902	0.00000
0065	53.52307	54.03923	13.89693	40.14231	0.99902	0.00000
