Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	131.44463	69.57487	29.08898	40.48589	0.74902	0.00000
0001	92.48449	56.34213	31.71056	24.63157	0.96777	0.03223
0002	104.60591	55.05140	27.88366	27.16774	0.92676	0.00000
0003	81.13053	57.20065	34.88579	22.31486	0.98730	0.38184
0004	97.96711	49.22044	26.74159	22.47885	0.95215	0.08301
0005	84.90180	37.04814	23.76470	13.28344	0.98145	0.76855
0006	94.01721	45.57942	25.77869	19.80073	0.96387	0.32129
0007	86.01202	56.17965	33.63498	22.54467	0.97949	0.28223
0008	83.60469	40.47759	25.79786	14.67973	0.98340	0.73340
0009	75.55758	47.22565	31.26186	15.96379	0.99316	0.77441
0010	88.77698	45.38475	27.40959	17.97515	0.97559	0.51074
0011	85.35492	46.93812	30.02636	16.91176	0.98145	0.61426
0012	75.71365	46.75929	30.92013	15.83916	0.99316	0.77832
0013	89.10628	47.80353	28.29301	19.51053	0.97559	0.41895
0014	122.11362	61.00015	26.85906	34.14110	0.82520	0.00000
0015	85.39357	37.43584	24.87497	12.56087	0.98145	0.78809
0016	106.78263	50.92405	26.26433	24.65972	0.91699	0.00000
0017	98.88041	36.63970	20.09133	16.54837	0.94824	0.43457
0018	101.28317	57.44124	29.90532	27.53592	0.94043	0.00000
0019	93.09541	51.76232	29.23797	22.52435	0.96582	0.16113
0020	117.63195	48.87801	21.71820	27.15981	0.85645	0.00000
0021	107.94240	44.25265	21.61675	22.63590	0.91309	0.00000
0022	80.95050	47.87069	30.56150	17.30919	0.98730	0.65527
0023	104.30965	36.89016	20.19564	16.69453	0.92871	0.34082
0024	96.81133	42.70974	23.76096	18.94877	0.95605	0.32715
0025	102.90038	50.07835	25.78188	24.29647	0.93457	0.00000
0026	99.93819	53.91527	29.69935	24.21592	0.94629	0.00000
0027	115.55588	62.92067	29.36924	33.55143	0.87012	0.00000
0028	87.67618	55.42138	33.16550	22.25588	0.97754	0.27246
0029	95.96846	51.51886	28.22774	23.29112	0.95801	0.06152
0030	110.07896	48.12888	24.27134	23.85754	0.90137	0.00000
0031	105.67245	49.25366	26.05672	23.19694	0.92285	0.00000
0032	119.85911	58.26736	25.89394	32.37342	0.84277	0.00000
0033	96.73105	51.59430	28.20746	23.38684	0.95605	0.04395
0034	102.46232	42.86902	22.85750	20.01152	0.93652	0.16699
0035	98.92978	48.74248	26.89193	21.85055	0.94824	0.10645
0036	90.68111	48.95135	28.63638	20.31497	0.97168	0.34473
0037	106.71147	57.19987	28.77785	28.42202	0.91895	0.00000
0038	91.91272	52.77493	30.21536	22.55958	0.96777	0.18066
0039	102.03182	48.03820	25.06525	22.97296	0.93848	0.00000
