Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	133.59595	60.18659	38.23725	21.94934	0.72754	0.00000
0001	121.22456	39.13776	30.60994	8.52782	0.83301	0.52832
0002	137.63224	57.72723	36.10658	21.62065	0.68848	0.00000
0003	161.74602	75.75996	39.02793	36.73203	0.40527	0.00000
0004	111.09534	26.15325	26.64800	-0.49475	0.89551	0.90527
0005	145.26723	38.80884	24.44520	14.36364	0.60645	0.00000
0006	196.34492	67.76581	26.15150	41.61431	0.00000	0.00000
0007	156.50995	46.44463	25.46173	20.98290	0.47168	0.00000
0008	131.51835	35.12996	26.03522	9.09474	0.74707	0.35645
0009	96.13871	49.75793	42.18949	7.56844	0.95801	0.83496
0010	134.22619	31.54735	23.68618	7.86117	0.72168	0.38379
0011	168.40604	72.53233	35.97298	36.55936	0.31934	0.00000
0012	105.95796	44.48529	39.30479	5.18050	0.92090	0.81934
0013	133.23905	50.55194	33.36106	17.19089	0.73145	0.00000
0014	135.58323	45.20631	32.50762	12.69869	0.70996	0.09277
0015	106.34721	39.24655	34.54617	4.70037	0.91895	0.82910
0016	117.58353	28.53442	26.21785	2.31657	0.85840	0.80176
0017	104.96717	61.04244	46.20236	14.84008	0.92676	0.43652
0018	143.61907	47.04736	29.38410	17.66326	0.62598	0.00000
0019	190.11793	62.68974	25.52524	37.16451	0.03223	0.00000
0020	117.45024	45.03023	34.49726	10.53297	0.85840	0.48145
0021	101.11028	44.36089	38.62893	5.73196	0.94043	0.84277
0022	183.19501	62.80433	27.34521	35.45912	0.12207	0.00000
0023	135.39622	49.51480	32.26297	17.25183	0.71191	0.00000
0024	114.46310	38.21746	32.06285	6.15461	0.87793	0.70996
0025	121.99931	38.04087	30.45468	7.58618	0.82715	0.56152
0026	125.24255	45.72855	32.90363	12.82492	0.80176	0.24121
0027	164.51361	46.28365	23.38470	22.89895	0.37012	0.00000
0028	133.49969	50.86200	34.19276	16.66924	0.72949	0.00000
0029	136.78453	55.66413	35.23172	20.43242	0.69629	0.00000
0030	108.49741	55.30525	41.87286	13.43239	0.90918	0.45996
0031	136.11509	61.54615	38.32653	23.21962	0.70410	0.00000
0032	95.67654	29.89554	34.44167	-4.54614	0.95801	0.98535
0033	138.03815	58.17053	36.23734	21.93319	0.68457	0.00000
0034	145.78174	64.48095	37.14007	27.34088	0.60059	0.00000
0035	134.27006	43.67894	29.63620	14.04274	0.72168	0.03418
0036	118.98481	32.72084	28.20770	4.51315	0.84863	0.71973
0037	158.24895	54.69837	29.13867	25.55970	0.45020	0.00000
0038	120.02296	42.82888	33.20684	9.62204	0.84082	0.49121
0039	138.66704	47.04073	30.19939	16.84134	0.67871	0.00000
0040	86.83406	33.77693	36.76660	-2.98966	0.97949	0.98926
0041	123.05049	56.69263	39.02620	17.66642	0.81934	0.00000
0042	139.53688	50.01419	31.48870	18.52549	0.66895	0.00000
0043	116.87628	32.25115	28.49457	3.75658	0.86230	0.76465
0044	87.57364	37.27657	38.22393	-0.94736	0.97754	0.98145
0045	152.44187	46.84925	26.70107	20.14819	0.52246	0.00000
0046	93.36548	36.17722	36.11605	0.06117	0.96582	0.96387
0047	145.51868	60.16514	35.11071	25.05443	0.60449	0.00000
0048	98.46810	41.89453	38.16115	3.73338	0.95020	0.90137
0049	121.16090	41.61016	32.04318	9.56698	0.83301	0.47949
0050	106.52607	40.73907	35.59011	5.14896	0.91895	0.81543
0051	143.86859	68.95146	39.85613	29.09532	0.62207	0.00000
0052	110.32895	49.44702	38.53085	10.91617	0.90137	0.55957
0053	139.35666	41.48824	27.24876	14.23948	0.67090	0.00000
0054	124.49629	47.13615	34.29622	12.83993	0.80762	0.25293
0055	155.87029	76.52617	40.67421	35.85196	0.48145	0.00000
0056	146.90454	77.08967	44.52588	32.56380	0.58887	0.00000
0057	170.17708	67.64451	32.98267	34.66184	0.29590	0.00000
0058	146.72587	54.66179	32.32774	22.33406	0.59082	0.00000
0059	143.89510	73.36042	42.14523	31.21519	0.62207	0.00000
0060	113.44961	34.22369	30.12912	4.09457	0.88379	0.78613
0061	148.92584	56.66938	32.99074	23.67864	0.56543	0.00000
0062	143.41710	45.51044	28.95876	16.55168	0.62793	0.00000
0063	100.91355	65.50593	48.87492	16.63101	0.94238	0.39746
0064	102.06021	56.40830	44.66870	11.73959	0.93848	0.62988
0065	124.39146	54.03923	37.52358	16.51565	0.80762	0.03418
0066	134.92349	62.61712	38.95778	23.65934	0.71582	0.00000
0067	149.07534	48.18178	28.30362	19.87816	0.56348	0.00000
0068	122.69839	29.90434	25.75520	4.14914	0.82129	0.69434
0069	109.51928	61.99412	45.40416	16.58995	0.90527	0.26465
0070	186.95577	71.70466	30.79278	40.91187	0.07324	0.00000
0071	92.01936	34.60540	35.72241	-1.11701	0.96777	0.97559
0072	142.89414	53.73357	32.57703	21.15654	0.63379	0.00000
0073	125.35907	59.91982	41.87761	18.04221	0.79980	0.00000
0074	137.06429	46.44904	30.57049	15.87855	0.69434	0.00000
0075	138.30678	45.06191	30.13777	14.92415	0.68262	0.00000
0076	124.75709	51.19679	35.88344	15.31335	0.80566	0.10254
0077	147.09011	54.62901	31.88628	22.74273	0.58496	0.00000
0078	153.95375	52.62781	31.55125	21.07656	0.50488	0.00000
0079	140.76797	45.24164	28.83180	16.40984	0.65527	0.00000
0080	175.13256	72.80983	34.06968	38.74015	0.22949	0.00000
0081	148.38824	61.75614	35.28102	26.47512	0.57129	0.00000
0082	113.56193	27.62209	27.00068	0.62141	0.88184	0.87012
0083	147.25104	57.89071	34.05849	23.83222	0.58496	0.00000
0084	109.68976	35.17989	31.63529	3.54460	0.90332	0.83105
0085	160.25988	51.40898	27.01302	24.39596	0.42480	0.00000
0086	148.42385	67.77629	38.12824	29.64805	0.57129	0.00000
0087	132.51399	40.34671	28.68650	11.66021	0.73926	0.19824
0088	143.55787	59.70467	35.75879	23.94588	0.62598	0.00000
0089	129.32255	50.29383	34.25828	16.03555	0.76660	0.00000
0090	169.39692	50.89075	24.67889	26.21186	0.30566	0.00000
0091	152.88596	53.58921	30.48434	23.10487	0.51660	0.00000
0092	130.39232	50.63753	34.27365	16.36388	0.75879	0.00000
0093	100.94196	66.27094	49.36757	16.90337	0.94238	0.38184
0094	139.72320	36.66493	25.41457	11.25036	0.66699	0.11621
0095	136.34929	51.57892	33.11864	18.46028	0.70215	0.00000
0096	141.66695	60.43233	39.49417	20.93816	0.64551	0.00000
0097	125.13840	49.97827	35.05031	14.92796	0.80176	0.12012
0098	106.71126	47.41828	38.37895	9.03934	0.91895	0.68652
0099	134.81144	54.88329	35.08257	19.80073	0.71582	0.00000
