Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	94.08925	60.18659	27.02861	33.15798	0.96387	0.00000
0001	79.23207	39.13776	20.02275	19.11501	0.98926	0.59277
0002	96.11200	57.72723	25.40133	32.32591	0.95801	0.00000
0003	118.44140	75.75996	28.76877	46.99119	0.85254	0.00000
0004	68.24746	26.15325	16.27465	9.87859	0.99707	0.95410
0005	95.95704	38.80884	15.68744	23.12141	0.95801	0.07324
0006	140.40016	67.76581	19.05238	48.71343	0.65918	0.00000
0007	106.11209	46.44463	16.97589	29.46875	0.92090	0.00000
0008	85.23381	35.12996	16.52104	18.60892	0.98145	0.53027
0009	64.85923	49.75793	28.92405	20.83388	0.99707	0.71387
0010	85.98298	31.54735	14.66167	16.88568	0.97949	0.60645
0011	122.00081	72.53233	26.48897	46.04336	0.82715	0.00000
0012	68.82705	44.48529	27.50221	16.98308	0.99707	0.81152
0013	91.03788	50.55194	22.82604	27.72591	0.96973	0.00000
0014	89.63187	45.20631	22.91015	22.29616	0.97363	0.23730
0015	68.75307	39.24655	22.85940	16.38715	0.99707	0.82910
0016	73.50276	28.53442	16.15273	12.38169	0.99316	0.89160
0017	74.07787	61.04244	32.83937	28.20307	0.99316	0.11035
0018	97.03032	47.04736	19.94598	27.10138	0.95410	0.00000
0019	134.30544	62.68974	18.39305	44.29670	0.72168	0.00000
0020	78.35929	45.03023	23.18468	21.84554	0.98926	0.45605
0021	66.49171	44.36089	26.19826	18.16263	0.99707	0.79590
0022	129.47460	62.80433	19.69001	43.11433	0.76660	0.00000
0023	92.26090	49.51480	21.96149	27.55331	0.96777	0.00000
0024	74.08935	38.21746	21.07097	17.14648	0.99316	0.74902
0025	79.09321	38.04087	20.09590	17.94497	0.98926	0.65137
0026	84.02023	45.72855	22.12390	23.60465	0.98340	0.24902
0027	111.66373	46.28365	15.51186	30.77179	0.89355	0.00000
0028	90.86825	50.86200	23.76531	27.09670	0.97168	0.00000
0029	94.93282	55.66413	24.60933	31.05480	0.96191	0.00000
0030	75.17489	55.30525	29.11818	26.18708	0.99316	0.23340
0031	96.23695	61.54615	27.21075	34.33540	0.95801	0.00000
0032	57.33629	29.89554	22.94142	6.95411	0.99902	0.99316
0033	96.52277	58.17053	25.53087	32.63966	0.95605	0.00000
0034	104.02636	64.48095	26.49360	37.98735	0.93066	0.00000
0035	89.71605	43.67894	19.68938	23.98956	0.97363	0.12207
0036	75.59141	32.72084	17.97073	14.75011	0.99316	0.81348
0037	109.81462	54.69837	20.16194	34.53643	0.90332	0.00000
0038	79.22773	42.82888	22.32034	20.50854	0.98926	0.52051
0039	93.81355	47.04073	20.32745	26.71328	0.96387	0.00000
0040	53.40681	33.77693	24.03810	9.73884	0.99902	0.98926
0041	85.71950	56.69263	27.27364	29.41899	0.98145	0.00000
0042	95.30245	50.01419	21.46200	28.55220	0.95996	0.00000
0043	73.97778	32.25115	18.13388	14.11726	0.99316	0.84668
0044	55.03896	37.27657	25.27228	12.00429	0.99902	0.97559
0045	103.37381	46.84925	17.88277	28.96649	0.93262	0.00000
0046	58.82959	36.17722	23.66471	12.51251	0.99902	0.96191
