Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	182.45970	69.57487	39.90115	29.67372	0.13184	0.00000
0001	133.47522	56.34213	45.02882	11.31331	0.72949	0.20410
0002	150.51280	55.05140	39.97287	15.07853	0.54590	0.00000
0003	117.47218	57.20065	49.36631	7.83434	0.85840	0.60840
0004	143.65635	49.22044	38.88522	10.33522	0.62402	0.11035
0005	130.13836	37.04814	36.02149	1.02664	0.76074	0.72754
0006	139.49322	45.57942	37.97562	7.60380	0.66895	0.32324
0007	124.92715	56.17965	47.47213	8.70752	0.80371	0.46973
0008	127.06440	40.47759	38.49887	1.97872	0.78613	0.72559
0009	113.52775	47.22565	45.33525	1.89040	0.88184	0.84277
0010	132.67454	45.38475	40.00114	5.38360	0.73730	0.52637
0011	128.12513	46.93812	42.89975	4.03837	0.77832	0.63965
0012	113.86508	46.75929	44.94821	1.81108	0.87988	0.84277
0013	132.03754	47.80353	41.12613	6.67740	0.74316	0.47363
0014	172.63858	61.00015	37.79376	23.20640	0.26270	0.00000
0015	131.44867	37.43584	36.92713	0.50871	0.74902	0.73145
0016	155.79495	50.92405	37.57719	13.34686	0.48145	0.00000
0017	149.53124	36.63970	30.99456	5.64514	0.55762	0.28613
0018	145.04488	57.44124	42.53083	14.91041	0.60840	0.00000
0019	136.01019	51.76232	42.07521	9.68711	0.70410	0.25879
0020	170.87194	48.87801	31.97414	16.90387	0.28613	0.00000
0021	159.12495	44.25265	32.38705	11.86560	0.44043	0.00000
0022	120.94514	47.87069	44.12878	3.74191	0.83496	0.72754
0023	157.90480	36.89016	30.36278	6.52738	0.45410	0.12012
0024	144.49799	42.70974	35.40523	7.30450	0.61621	0.26660
0025	150.00137	50.07835	37.57257	12.50578	0.55176	0.00000
0026	145.43336	53.91527	41.89150	12.02378	0.60449	0.00000
0027	162.83437	62.92067	41.11555	21.80512	0.39160	0.00000
0028	127.74400	55.42138	46.71448	8.70690	0.78027	0.43066
0029	139.92425	51.51886	40.80473	10.71413	0.66504	0.14355
0030	161.54710	48.12888	34.97025	13.15864	0.40918	0.00000
0031	155.15737	49.25366	37.25143	12.00223	0.48926	0.00000
0032	170.44166	58.26736	36.81424	21.45312	0.29199	0.00000
0033	141.04402	51.59430	40.69516	10.89914	0.65332	0.11621
0034	152.53061	42.86902	33.90637	8.96266	0.52246	0.05957
0035	145.63174	48.74248	38.78238	9.96010	0.60254	0.10254
0036	133.89488	48.95135	41.39887	7.55247	0.72559	0.40332
0037	152.86203	57.19987	40.80614	16.39372	0.51660	0.00000
0038	134.13581	52.77493	43.22552	9.54941	0.72363	0.29395
0039	149.63688	48.03820	36.72992	11.30828	0.55566	0.00000
0040	135.19584	56.12073	44.29610	11.82462	0.71387	0.14941
0041	113.41905	37.85929	41.56840	-3.70911	0.88379	0.93848
0042	132.39800	46.36514	41.22867	5.13647	0.73926	0.54199
0043	155.45584	73.79893	48.06157	25.73736	0.48535	0.00000
0044	148.58075	63.83389	45.08418	18.74971	0.56934	0.00000
0045	156.34165	42.68050	33.60135	9.07915	0.47559	0.00000
0046	188.97068	58.50357	32.33642	26.16714	0.04590	0.00000
0047	171.06486	53.73413	34.50195	19.23217	0.28418	0.00000
0048	109.07590	44.31740	46.23551	-1.91811	0.90723	0.93262
0049	139.52998	31.02659	30.86258	0.16401	0.66895	0.66309
0050	140.83468	45.78234	38.46642	7.31592	0.65527	0.31934
0051	142.16716	42.75403	35.99253	6.76150	0.64160	0.32910
0052	148.22022	55.87632	40.92810	14.94822	0.57324	0.00000
0053	139.60805	35.35419	32.82606	2.52813	0.66895	0.56738
0054	197.80623	69.33358	35.24406	34.08952	0.00000	0.00000
0055	122.42940	50.30124	45.58699	4.71425	0.82324	0.67676
0056	160.67188	53.72214	37.37644	16.34571	0.41895	0.00000
0057	178.67626	72.72982	41.75564	30.97419	0.18262	0.00000
0058	123.32576	50.27256	44.53126	5.74129	0.81738	0.62598
0059	193.63744	59.48165	31.35867	28.12297	0.00000	0.00000
0060	175.85104	56.53796	35.70845	20.82951	0.21973	0.00000
0061	173.66900	43.10417	28.17304	14.93113	0.24902	0.00000
0062	167.45184	59.71146	38.22103	21.49044	0.33105	0.00000
0063	190.64711	45.77832	25.58910	20.18922	0.02441	0.00000
0064	146.30820	45.26768	36.19408	9.07360	0.59473	0.14355
0065	167.88264	46.83250	31.67854	15.15396	0.32520	0.00000
0066	133.83317	55.90300	45.61284	10.29016	0.72559	0.25684
0067	185.87503	47.13373	27.14655	19.98718	0.08691	0.00000
0068	163.41757	61.85989	40.92059	20.93930	0.38379	0.00000
0069	205.73223	76.84605	40.01308	36.83296	0.00000	0.00000
0070	157.00848	51.57982	37.48103	14.09878	0.46582	0.00000
0071	137.43382	34.70018	33.48262	1.21756	0.69043	0.64551
0072	173.07879	47.02045	30.35792	16.66253	0.25684	0.00000
0073	177.96468	54.28539	33.62814	20.65725	0.19238	0.00000
0074	233.22772	66.80560	26.11797	40.68763	0.00000	0.00000
0075	149.19025	42.83040	34.14367	8.68673	0.56152	0.12402
0076	119.68877	55.20485	47.93984	7.26501	0.84277	0.60645
0077	115.12923	36.67234	39.57989	-2.90754	0.87402	0.92090
0078	132.49749	48.39457	41.11193	7.28264	0.73926	0.43652
0079	141.87929	39.89664	34.82952	5.06712	0.64355	0.42090
0080	192.05902	49.97806	27.34315	22.63492	0.00684	0.00000
0081	124.42309	57.96980	49.99334	7.97646	0.80762	0.51270
0082	161.98516	51.36545	35.21543	16.15002	0.40332	0.00000
0083	158.63655	46.57352	33.91211	12.66141	0.44629	0.00000
0084	164.05939	47.35900	32.72361	14.63539	0.37598	0.00000
0085	137.09632	54.72073	44.59295	10.12778	0.69434	0.21777
0086	125.35678	55.94923	46.67467	9.27457	0.79980	0.43457
0087	134.25682	33.12841	33.03721	0.09120	0.72168	0.71973
0088	139.31109	39.11511	34.76656	4.34856	0.67090	0.48926
0089	184.39414	78.87558	43.36566	35.50992	0.10645	0.00000
0090	161.85040	37.10724	28.21101	8.89623	0.40527	0.00000
0091	127.91773	51.05299	43.75900	7.29398	0.78027	0.49902
0092	184.63891	56.22499	32.48189	23.74310	0.10254	0.00000
0093	129.23138	60.19320	48.58557	11.60763	0.76855	0.25098
0094	129.17677	32.02172	33.74487	-1.72315	0.76855	0.81543
0095	160.26232	48.40088	34.56230	13.83858	0.42480	0.00000
0096	136.09293	38.62131	35.37212	3.24919	0.70410	0.57910
0097	173.23073	60.23719	37.02605	23.21114	0.25488	0.00000
0098	114.31384	39.21656	41.10218	-1.88562	0.87793	0.91113
0099	161.28487	75.36982	47.55153	27.81829	0.41113	0.00000
0100	171.49188	59.46442	37.94347	21.52095	0.27832	0.00000
0101	144.28432	36.18871	33.51843	2.67028	0.61816	0.50293
0102	145.32907	45.15684	36.42964	8.72720	0.60645	0.17676
0103	170.56233	57.94967	36.60995	21.33973	0.29004	0.00000
0104	151.90956	63.92759	44.28441	19.64318	0.52832	0.00000
0105	110.53708	44.90267	44.90691	-0.00424	0.89941	0.89941
0106	145.18799	54.21268	40.85300	13.35969	0.60840	0.00000
0107	120.19223	47.90559	43.93103	3.97456	0.83887	0.72754
0108	181.37788	65.95907	37.70945	28.24962	0.14551	0.00000
0109	149.93294	41.60231	33.39252	8.20979	0.55176	0.13965
0110	127.48431	44.70382	41.81794	2.88588	0.78223	0.69043
0111	114.46591	53.94684	48.87005	5.07680	0.87793	0.74707
0112	154.14583	34.49684	29.75836	4.73848	0.50098	0.26855
0113	187.37608	61.97995	34.17732	27.80263	0.06738	0.00000
0114	187.22435	58.15181	32.75286	25.39895	0.06934	0.00000
0115	183.73505	46.72780	27.55005	19.17775	0.11426	0.00000
0116	125.67024	42.36617	39.88774	2.47843	0.79785	0.72363
0117	180.60328	58.02253	34.57096	23.45157	0.15723	0.00000
0118	135.75530	53.41329	42.96389	10.44940	0.70801	0.21973
0119	145.33303	47.90708	37.73708	10.16999	0.60645	0.09473
0120	153.84375	46.48450	35.24443	11.24007	0.50488	0.00000
0121	137.66113	40.65288	36.02691	4.62598	0.68848	0.49707
0122	151.92124	58.45567	42.67788	15.77778	0.52832	0.00000
0123	160.67587	46.55754	33.19499	13.36255	0.41895	0.00000
0124	125.36991	40.75313	41.85101	-1.09788	0.79980	0.82910
0125	174.00852	57.96634	35.77253	22.19381	0.24512	0.00000
0126	152.34597	51.92360	38.11653	13.80707	0.52441	0.00000
0127	132.32177	58.06196	45.98185	12.08012	0.74121	0.17871
0128	150.42015	49.92648	37.78346	12.14303	0.54785	0.00000
0129	183.58804	47.98587	29.63377	18.35210	0.11621	0.00000
0130	171.21112	68.89796	42.54395	26.35402	0.28223	0.00000
0131	136.72123	59.59524	45.79864	13.79659	0.69824	0.01074
0132	151.71421	39.41398	31.82243	7.59155	0.53223	0.14746
0133	166.54280	55.92878	36.75646	19.17232	0.34277	0.00000
0134	160.83063	48.87752	34.76358	14.11394	0.41699	0.00000
0135	123.14196	58.09772	49.22491	8.87281	0.81738	0.48535
0136	165.65829	60.79316	43.39940	17.39376	0.35449	0.00000
0137	140.74046	54.31998	46.66509	7.65489	0.65723	0.30176
0138	121.03108	49.15582	44.39788	4.75795	0.83301	0.69043
0139	141.22743	47.71100	38.57588	9.13512	0.65137	0.21387
0140	138.89040	35.87140	33.40675	2.46466	0.67480	0.57910
0141	125.62329	63.64880	53.10582	10.54298	0.79785	0.36426
0142	122.00904	28.13321	35.34028	-7.20708	0.82715	0.94434
0143	122.17470	49.61962	44.33086	5.28875	0.82520	0.65723
0144	170.08782	55.95173	36.80243	19.14929	0.29590	0.00000
0145	148.34178	49.16583	37.65437	11.51146	0.57129	0.00000
0146	146.93744	42.19085	34.67834	7.51251	0.58691	0.22168
0147	185.76734	59.91929	33.54419	26.37509	0.08887	0.00000
0148	151.35794	38.60262	32.60644	5.99617	0.53613	0.24121
0149	148.79165	55.44516	40.61918	14.82598	0.56543	0.00000
0150	172.76544	54.81461	34.55592	20.25869	0.26074	0.00000
0151	135.57198	45.56042	38.91362	6.64680	0.70996	0.42676
0152	107.73333	52.58453	49.39050	3.19403	0.91309	0.85449
0153	132.38264	44.81986	39.36840	5.45146	0.73926	0.52637
0154	151.10625	41.73334	33.18412	8.54922	0.53809	0.10254
0155	153.88975	51.23477	37.20058	14.03418	0.50488	0.00000
0156	164.33895	43.37017	31.45879	11.91138	0.37207	0.00000
0157	147.16866	60.60898	43.53984	17.06913	0.58496	0.00000
0158	200.73770	47.84613	23.76471	24.08143	0.00000	0.00000
0159	199.31830	51.04783	26.61758	24.43025	0.00000	0.00000
0160	194.64003	54.40183	29.38720	25.01462	0.00000	0.00000
0161	131.61153	56.96758	47.34113	9.62645	0.74707	0.32715
0162	172.58071	54.49075	34.17427	20.31648	0.26465	0.00000
0163	134.44122	53.73547	43.28392	10.45155	0.71973	0.23926
0164	162.74991	34.22926	27.09371	7.13555	0.39355	0.01855
0165	137.39697	32.97127	32.40937	0.56190	0.69043	0.67090
0166	193.84525	49.63188	26.48317	23.14870	0.00000	0.00000
0167	163.64790	55.68696	39.88330	15.80366	0.38184	0.00000
0168	124.89485	58.70689	48.69469	10.01219	0.80371	0.40332
0169	127.14336	36.07257	36.28818	-0.21561	0.78613	0.79199
0170	162.28522	59.09619	39.00306	20.09313	0.39941	0.00000
0171	144.52035	49.73845	39.03578	10.70267	0.61426	0.07715
0172	148.00430	40.96226	35.78423	5.17803	0.57520	0.33105
0173	114.25575	31.59309	37.74160	-6.14851	0.87793	0.95801
0174	189.28588	64.41723	35.50138	28.91585	0.04199	0.00000
0175	182.57640	58.16045	33.46563	24.69482	0.12988	0.00000
0176	126.26952	41.14205	39.14363	1.99842	0.79395	0.73340
0177	177.08126	71.49814	42.22133	29.27681	0.20410	0.00000
0178	121.08767	57.84345	49.47613	8.36732	0.83301	0.53809
0179	152.62621	54.55390	39.24570	15.30820	0.52051	0.00000
0180	181.60611	75.15740	42.27027	32.88713	0.14355	0.00000
0181	144.96220	47.53960	37.61965	9.91995	0.61035	0.11426
0182	167.74793	41.68945	29.32431	12.36514	0.32715	0.00000
0183	118.48409	61.67064	51.48168	10.18896	0.85059	0.48535
0184	149.39396	66.47842	45.93058	20.54785	0.55957	0.00000
0185	156.95767	53.62479	37.72247	15.90232	0.46777	0.00000
0186	123.47260	39.34560	39.10055	0.24505	0.81543	0.80957
0187	153.51366	38.48265	31.59294	6.88971	0.50879	0.16113
0188	145.29459	28.80521	28.30243	0.50278	0.60645	0.58496
0189	149.20780	69.19994	49.10622	20.09372	0.56152	0.00000
0190	114.46849	42.02126	42.43902	-0.41776	0.87793	0.88574
0191	150.13339	45.35730	35.17723	10.18006	0.54980	0.02637
0192	151.43654	43.33021	34.48469	8.84552	0.53418	0.08301
0193	118.69247	28.38166	35.28207	-6.90041	0.85059	0.95215
0194	171.62600	63.75728	43.21071	20.54657	0.27637	0.00000
0195	164.77478	47.25606	33.17473	14.08133	0.36621	0.00000
0196	187.90268	50.85831	28.51776	22.34055	0.05957	0.00000
0197	163.42850	60.58290	39.51408	21.06882	0.38379	0.00000
0198	143.43702	47.69577	38.39529	9.30047	0.62793	0.17285
0199	117.39823	34.68323	39.44814	-4.76491	0.85840	0.93457
0200	152.18637	41.59779	34.22239	7.37540	0.52637	0.15332
0201	135.31587	39.56129	35.97866	3.58264	0.71191	0.57324
0202	146.12714	48.35957	37.79866	10.56091	0.59668	0.06152
0203	165.28984	48.91756	33.90285	15.01471	0.36035	0.00000
0204	174.16286	46.79653	30.70884	16.08768	0.24316	0.00000
0205	191.86158	53.07160	29.21259	23.85901	0.00879	0.00000
0206	137.62175	40.11887	35.69058	4.42829	0.68848	0.50684
0207	164.36376	47.19850	32.55499	14.64351	0.37207	0.00000
0208	161.25192	53.74618	37.79812	15.94806	0.41309	0.00000
0209	135.24851	41.94617	37.48887	4.45730	0.71191	0.53613
