Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	95.31332	69.57487	21.99775	47.57712	0.95996	0.00000
0001	66.37752	56.34213	22.11325	34.22889	0.99707	0.00000
0002	73.58277	55.05140	19.51538	35.53602	0.99316	0.00000
0003	59.67263	57.20065	24.12620	33.07445	0.99902	0.02441
0004	67.16162	49.22044	18.31890	30.90154	0.99707	0.04395
0005	54.54899	37.04814	15.22884	21.81930	0.99902	0.80176
0006	63.42495	45.57942	17.30269	28.27673	0.99902	0.30566
0007	61.98064	56.17965	23.51876	32.66089	0.99902	0.01074
0008	55.02872	40.47759	16.81779	23.65980	0.99902	0.72168
0009	52.47116	47.22565	20.90940	26.31625	0.99902	0.62793
0010	59.76317	45.38475	18.53899	26.84576	0.99902	0.47168
0011	57.46847	46.93812	20.87391	26.06421	0.99902	0.55957
0012	52.44597	46.75929	20.61299	26.14630	0.99902	0.63770
0013	61.05877	47.80353	19.18082	28.62271	0.99902	0.32715
0014	86.47240	61.00015	19.64530	41.35485	0.97949	0.00000
0015	54.22222	37.43584	16.54374	20.89210	0.99902	0.83496
0016	72.65407	50.92405	18.67241	32.25164	0.99512	0.00000
0017	63.11333	36.63970	12.90904	23.73066	0.99902	0.59863
0018	72.40520	57.44124	21.00075	36.44049	0.99512	0.00000
0019	65.06438	51.76232	20.12166	31.64066	0.99707	0.02832
0020	79.27571	48.87801	15.18320	33.69481	0.98926	0.00000
0021	71.64360	44.25265	14.56739	29.68527	0.99512	0.04980
0022	55.83961	47.87069	20.71516	27.15553	0.99902	0.52246
0023	65.59824	36.89016	13.74942	23.14074	0.99707	0.59082
0024	64.00841	42.70974	15.83763	26.87211	0.99902	0.39160
0025	70.68315	50.07835	17.71212	32.36622	0.99512	0.00000
0026	69.32677	53.91527	21.22814	32.68713	0.99707	0.00000
0027	83.16115	62.92067	21.34386	41.57681	0.98535	0.00000
0028	62.49212	55.42138	23.33745	32.08393	0.99902	0.04395
0029	66.89642	51.51886	19.37168	32.14718	0.99707	0.00000
0030	73.49458	48.12888	17.29338	30.83551	0.99316	0.00000
0031	71.07128	49.25366	18.58295	30.67071	0.99512	0.00000
0032	84.16030	58.26736	18.69458	39.57278	0.98340	0.00000
0033	67.30184	51.59430	19.44070	32.15359	0.99707	0.00000
0034	67.27778	42.86902	15.52957	27.33945	0.99707	0.29980
0035	67.11156	48.74248	18.72242	30.02006	0.99707	0.11035
0036	62.35109	48.95135	19.59482	29.35653	0.99902	0.25098
0037	75.44466	57.19987	20.47049	36.72938	0.99316	0.00000
0038	64.57337	52.77493	20.92613	31.84880	0.99707	0.02246
0039	69.31051	48.03820	17.12151	30.91669	0.99707	0.00293
0040	67.24815	56.12073	21.59303	34.52770	0.99707	0.00000
0041	46.34284	37.85929	18.64745	19.21184	0.99902	0.93457
0042	59.44329	46.36514	19.77734	26.58779	0.99902	0.49316
0043	86.10932	73.79893	25.70820	48.09073	0.97949	0.00000
0044	77.23641	63.83389	23.23026	40.60362	0.99121	0.00000
0045	68.09778	42.68050	15.97232	26.70818	0.99707	0.32715
0046	92.67178	58.50357	16.72115	41.78241	0.96777	0.00000
0047	81.85076	53.73413	17.11548	36.61865	0.98730	0.00000
0048	47.50700	44.31740	21.93774	22.37966	0.99902	0.85645
0049	55.31550	31.02659	12.22620	18.80039	0.99902	0.88184
0050	63.35481	45.78234	18.14639	27.63595	0.99902	0.35254
0051	62.99226	42.75403	16.09626	26.65777	0.99902	0.42480
0052	73.02378	55.87632	20.03721	35.83911	0.99512	0.00000
0053	57.90874	35.35419	13.56089	21.79331	0.99902	0.76270
0054	102.92084	69.33358	19.27541	50.05818	0.93457	0.00000
0055	57.17021	50.30124	22.21178	28.08946	0.99902	0.43848
