Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	61.31976	60.18659	16.61629	43.57029	0.99902	0.00000
0001	42.31960	39.13776	10.64618	28.49158	0.99902	0.67676
0002	59.98660	57.72723	15.82799	41.89924	0.99902	0.00000
0003	79.34204	75.75996	19.93893	55.82104	0.98926	0.00000
0004	29.90933	26.15325	7.25450	18.89875	0.99902	0.99121
0005	46.84838	38.80884	9.35992	29.44893	0.99902	0.54199
0006	80.23391	67.76581	15.48926	52.27655	0.98730	0.00000
0007	55.19065	46.44463	11.10156	35.34307	0.99902	0.00000
0008	41.16792	35.12996	8.93283	26.19714	0.99902	0.79980
0009	45.80176	49.75793	15.08373	34.67420	0.99902	0.18066
0010	38.65264	31.54735	7.88957	23.65779	0.99902	0.90332
0011	77.73376	72.53233	18.95105	53.58128	0.99121	0.00000
0012	40.01720	44.48529	16.09998	28.38531	0.99902	0.71973
0013	53.77761	50.55194	13.53642	37.01553	0.99902	0.00000
0014	46.12126	45.20631	15.18311	30.02320	0.99902	0.51855
0015	39.17115	39.24655	11.65019	27.59636	0.99902	0.76855
0016	33.10981	28.53442	7.64628	20.88814	0.99902	0.97363
0017	55.67069	61.04244	18.83648	42.20596	0.99902	0.00000
0018	52.45740	47.04736	12.48452	34.56284	0.99902	0.05176
0019	74.35963	62.68974	14.77481	47.91493	0.99316	0.00000
0020	46.28270	45.03023	12.59914	32.43108	0.99902	0.34668
0021	41.86908	44.36089	13.74923	30.61166	0.99902	0.56152
0022	73.01558	62.80433	15.20007	47.60426	0.99512	0.00000
0023	53.44368	49.51480	13.06111	36.45369	0.99902	0.00000
0024	39.87476	38.21746	11.01993	27.19752	0.99902	0.77637
0025	40.65803	38.04087	11.10000	26.94086	0.99902	0.77637
0026	48.39136	45.72855	12.42643	33.30212	0.99902	0.23535
0027	56.65559	46.28365	10.65921	35.62444	0.99902	0.00000
0028	52.89085	50.86200	14.65497	36.20703	0.99902	0.00000
0029	58.25496	55.66413	15.17411	40.49003	0.99902	0.00000
0030	52.71235	55.30525	16.12913	39.17613	0.99902	0.00000
0031	62.84838	61.54615	16.95320	44.59294	0.99902	0.00000
0032	26.51087	29.89554	12.04309	17.85245	0.99902	0.99707
0033	60.40547	58.17053	15.95551	42.21502	0.99902	0.00000
0034	67.50906	64.48095	17.01824	47.46271	0.99707	0.00000
0035	48.53438	43.67894	11.38012	32.29883	0.99902	0.30957
0036	36.34407	32.72084	9.17788	23.54296	0.99902	0.92285
0037	62.16573	54.69837	13.46948	41.22889	0.99902	0.00000
0038	44.31067	42.82888	12.44491	30.38397	0.99902	0.53027
0039	52.13274	47.04073	12.14297	34.89777	0.99902	0.03027
0040	30.76973	33.77693	11.09268	22.68425	0.99902	0.96582
0041	56.57618	56.69263	15.95478	40.73784	0.99902	0.00000
0042	54.65341	50.01419	13.01957	36.99462	0.99902	0.00000
0043	35.55527	32.25115	9.13482	23.11632	0.99902	0.93457
0044	33.88950	37.27657	11.95496	25.32161	0.99902	0.90332
0045	54.66872	46.84925	11.45435	35.39490	0.99902	0.00000
0046	34.34477	36.17722	11.18123	24.99599	0.99902	0.90723
0047	63.90335	60.16514	15.82455	44.34059	0.99902	0.00000
0048	39.19979	41.89453	13.28823	28.60630	0.99902	0.72168
0049	43.99499	41.61016	11.64465	29.96550	0.99902	0.56348
0050	39.85313	40.73907	12.56834	28.17073	0.99902	0.73340
0051	70.69880	68.95146	18.45858	50.49287	0.99512	0.00000
0052	48.32008	49.44702	14.34307	35.10395	0.99902	0.09277
0053	47.83183	41.48824	10.43996	31.04827	0.99902	0.41504
0054	48.56463	47.13615	13.58913	33.54702	0.99902	0.21191
0055	79.10908	76.52617	20.17451	56.35166	0.98926	0.00000
0056	75.64116	77.08967	22.65172	54.43795	0.99316	0.00000
