Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	69.46630	60.18659	19.54091	40.64568	0.99707	0.00000
0001	52.12334	39.13776	13.15650	25.98126	0.99902	0.65137
0002	69.47551	57.72723	18.41701	39.31022	0.99707	0.00000
0003	90.02054	75.75996	22.23055	53.52941	0.97363	0.00000
0004	40.28333	26.15325	9.62225	16.53100	0.99902	0.98340
0005	61.53059	38.80884	10.65061	28.15823	0.99902	0.35059
0006	99.33916	67.76581	15.67419	52.09162	0.94824	0.00000
0007	70.59798	46.44463	12.21098	34.23366	0.99512	0.00000
0008	53.83303	35.12996	10.72780	24.40216	0.99902	0.70410
0009	48.46350	49.75793	19.37955	30.37839	0.99902	0.45020
0010	52.62353	31.54735	9.35809	22.18926	0.99902	0.80957
0011	90.47933	72.53233	20.72590	51.80643	0.97168	0.00000
0012	46.57989	44.48529	19.42056	25.06473	0.99902	0.77441
0013	63.72047	50.55194	16.01195	34.53999	0.99902	0.00000
0014	58.56425	45.20631	17.03361	28.17270	0.99902	0.40527
0015	46.04267	39.24655	14.89356	24.35299	0.99902	0.80762
0016	44.30574	28.53442	9.80854	18.72587	0.99902	0.95215
0017	58.07231	61.04244	23.19732	37.84511	0.99902	0.00000
0018	65.32532	47.04736	14.22879	32.81857	0.99707	0.00000
0019	93.37670	62.68974	14.98179	47.70795	0.96582	0.00000
0020	54.15209	45.03023	15.59305	29.43718	0.99902	0.40332
0021	46.75688	44.36089	17.48853	26.87236	0.99902	0.69043
0022	90.63794	62.80433	15.75573	47.04860	0.97168	0.00000
0023	64.00932	49.51480	15.38095	34.13385	0.99902	0.00000
0024	48.59934	38.21746	13.80004	24.41742	0.99902	0.77441
0025	51.07085	38.04087	13.45805	24.58282	0.99902	0.73535
0026	57.68165	45.72855	15.06511	30.66344	0.99902	0.24707
0027	73.69759	46.28365	11.35996	34.92369	0.99316	0.00000
0028	63.12056	50.86200	17.05879	33.80321	0.99902	0.00000
0029	67.96485	55.66413	17.70788	37.95625	0.99707	0.00000
0030	56.73611	55.30525	20.08443	35.22082	0.99902	0.00000
0031	71.24255	61.54615	19.81591	41.73024	0.99512	0.00000
0032	33.87979	29.89554	15.16211	14.73342	0.99902	0.99707
0033	69.89114	58.17053	18.54534	39.62519	0.99512	0.00000
0034	77.15473	64.48095	19.56807	44.91288	0.99121	0.00000
0035	60.04580	43.67894	13.46351	30.21543	0.99902	0.23340
0036	47.08176	32.72084	11.45471	21.26614	0.99902	0.88965
0037	76.26403	54.69837	14.90615	39.79222	0.99121	0.00000
0038	53.31624	42.82888	15.15477	27.67411	0.99902	0.53613
