Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	118.77330	60.18659	34.08760	26.09899	0.84863	0.00000
0001	105.57331	39.13776	26.66744	12.47032	0.92285	0.54980
0002	122.13841	57.72723	32.12473	25.60251	0.82520	0.00000
0003	145.65740	75.75996	35.19478	40.56519	0.60254	0.00000
0004	95.15896	26.15325	22.77678	3.37647	0.95996	0.92285
0005	127.17675	38.80884	21.11251	17.69633	0.78613	0.00000
0006	176.04292	67.76581	23.37169	44.39412	0.21777	0.00000
0007	138.05691	46.44463	22.21968	24.22495	0.68457	0.00000
0008	114.43642	35.12996	22.45039	12.67957	0.87793	0.41309
0009	84.05847	49.75793	37.35424	12.40369	0.98340	0.80566
0010	116.49137	31.54735	20.26457	11.28278	0.86426	0.45605
0011	151.28388	72.53233	32.39820	40.13413	0.53613	0.00000
0012	91.92724	44.48529	34.95716	9.52813	0.96777	0.81934
0013	117.51824	50.55194	29.43595	21.11600	0.85840	0.00000
0014	118.61236	45.20631	28.89502	16.31129	0.85059	0.13770
0015	92.16208	39.24655	30.23715	9.00940	0.96777	0.83105
0016	101.23619	28.53442	22.44937	6.08505	0.94043	0.83301
0017	93.01699	61.04244	41.33459	19.70785	0.96582	0.34277
0018	126.43574	47.04736	25.82462	21.22274	0.79199	0.00000
0019	169.86002	62.68974	22.73440	39.95534	0.29980	0.00000
0020	102.76618	45.03023	30.31296	14.71726	0.93457	0.47559
0021	87.91701	44.36089	34.07193	10.28895	0.97754	0.83105
0022	163.63446	62.80433	24.38004	38.42429	0.38184	0.00000
0023	119.36403	49.51480	28.41571	21.09909	0.84473	0.00000
0024	99.35143	38.21746	27.98545	10.23201	0.94824	0.72363
0025	106.04353	38.04087	26.58832	11.45255	0.92090	0.59277
0026	109.84802	45.72855	28.89695	16.83160	0.90332	0.24512
0027	145.24323	46.28365	20.34699	25.93666	0.60645	0.00000
0028	117.63546	50.86200	30.30350	20.55850	0.85645	0.00000
0029	121.18021	55.66413	31.27748	24.38665	0.83301	0.00000
0030	95.73615	55.30525	37.20786	18.09739	0.95801	0.39551
0031	121.16863	61.54615	34.20783	27.33832	0.83301	0.00000
0032	81.24270	29.89554	30.19482	-0.29928	0.98730	0.98730
0033	122.54594	58.17053	32.25508	25.91545	0.82324	0.00000
0034	130.20953	64.48095	33.17781	31.30314	0.75879	0.00000
0035	117.76497	43.67894	25.90715	17.77179	0.85645	0.06152
0036	102.86659	32.72084	24.38194	8.33891	0.93457	0.75293
0037	140.45043	54.69837	25.73299	28.96538	0.65918	0.00000
0038	104.77080	42.82888	29.16457	13.66431	0.92676	0.50098
0039	122.06212	47.04073	26.49531	20.54543	0.82520	0.00000
0040	74.03790	33.77693	32.11033	1.66661	0.99316	0.98926
0041	108.95308	56.69263	34.69524	21.99738	0.90723	0.00000
0042	123.13832	50.01419	27.73303	22.28116	0.81738	0.00000
0043	100.92303	32.25115	24.62757	7.62358	0.94238	0.79395
0044	75.07499	37.27657	33.49327	3.78330	0.99316	0.98145
0045	134.43210	46.84925	23.34820	23.50106	0.71973	0.00000
0046	80.19977	36.17722	31.55217	4.62505	0.98926	0.96387
0047	129.52864	60.16514	31.25291	28.91223	0.76465	0.00000
0048	85.27144	41.89453	33.60500	8.28953	0.98145	0.89551
0049	105.72704	41.61016	28.04633	13.56383	0.92285	0.49316
0050	92.40383	40.73907	31.26535	9.47372	0.96777	0.81543
0051	128.93424	68.95146	35.73441	33.21705	0.77051	0.00000
0052	96.78971	49.44702	34.06035	15.38667	0.95605	0.52832
0053	122.12794	41.48824	23.70063	17.78761	0.82520	0.00000
0054	109.21671	47.13615	30.26080	16.87535	0.90527	0.25098
0055	140.48701	76.52617	36.66472	39.86146	0.65918	0.00000
0056	132.20849	77.08967	40.34458	36.74510	0.74121	0.00000
0057	152.40976	67.64451	29.56918	38.07533	0.52246	0.00000
0058	130.01067	54.66179	28.65122	26.01057	0.76074	0.00000
0059	129.38075	73.36042	37.91850	35.44191	0.76660	0.00000
0060	98.07796	34.22369	26.11672	8.10696	0.95215	0.80566
0061	132.14957	56.66938	29.32950	27.33988	0.74121	0.00000
0062	126.04175	45.51044	25.44728	20.06316	0.79590	0.00000
0063	89.92959	65.50593	43.76559	21.74033	0.97363	0.26660
0064	89.92597	56.40830	39.84695	16.56135	0.97363	0.56738
0065	109.86275	54.03923	33.30045	20.73879	0.90332	0.00098
0066	120.24371	62.61712	34.77241	27.84471	0.83887	0.00000
