Rep	P_Y_norm	MLE_Err	Bayes_Err	Win	c_value	by_break
0000	64.56615	60.18659	17.87188	42.31470	0.99707	0.00000
0001	46.39459	39.13776	11.69462	27.44314	0.99902	0.66699
0002	63.90418	57.72723	16.91578	40.81145	0.99902	0.00000
0003	83.85442	75.75996	20.87802	54.88194	0.98340	0.00000
0004	34.26946	26.15325	8.23166	17.92159	0.99902	0.98730
0005	53.36261	38.80884	9.79855	29.01030	0.99902	0.44824
0006	88.95966	67.76581	15.37501	52.39080	0.97559	0.00000
0007	62.06744	46.44463	11.44955	34.99508	0.99902	0.00000
0008	46.67360	35.12996	9.62360	25.50637	0.99902	0.75488
0009	46.30576	49.75793	17.02492	32.73301	0.99902	0.32324
0010	44.81121	31.54735	8.41711	23.13024	0.99902	0.86035
0011	83.27967	72.53233	19.63176	52.90057	0.98535	0.00000
0012	42.47167	44.48529	17.55355	26.93174	0.99902	0.75098
0013	57.92216	50.55194	14.56747	35.98448	0.99902	0.00000
0014	51.51588	45.20631	15.90164	29.30467	0.99902	0.46387
0015	41.78004	39.24655	13.06516	26.18139	0.99902	0.79199
0016	37.88090	28.53442	8.52069	20.01373	0.99902	0.96387
0017	56.04463	61.04244	20.81018	40.23226	0.99902	0.00000
0018	58.06448	47.04736	13.14993	33.89742	0.99902	0.00000
0019	83.04129	62.68974	14.67158	48.01816	0.98535	0.00000
0020	49.39052	45.03023	13.88938	31.14085	0.99902	0.37793
0021	43.48610	44.36089	15.41216	28.94873	0.99902	0.63379
0022	80.99989	62.80433	15.27118	47.53315	0.98730	0.00000
0023	57.89963	49.51480	14.01431	35.50049	0.99902	0.00000
0024	43.41017	38.21746	12.20327	26.01419	0.99902	0.77832
0025	45.03757	38.04087	12.07231	25.96856	0.99902	0.75684
0026	52.20963	45.72855	13.53905	32.18950	0.99902	0.24121
0027	64.34972	46.28365	10.80286	35.48079	0.99707	0.00000
0028	57.17883	50.86200	15.65016	35.21184	0.99902	0.00000
0029	62.28303	55.66413	16.23428	39.42986	0.99902	0.00000
0030	53.89736	55.30525	17.90006	37.40519	0.99902	0.00000
0031	66.21859	61.54615	18.17784	43.36831	0.99707	0.00000
0032	29.36845	29.89554	13.39588	16.49965	0.99902	0.99707
0033	64.32143	58.17053	17.04371	41.12682	0.99902	0.00000
0034	71.50502	64.48095	18.08644	46.39451	0.99512	0.00000
0035	53.46321	43.67894	12.21509	31.46385	0.99902	0.27051
0036	40.88604	32.72084	10.10958	22.61127	0.99902	0.90723
0037	68.38801	54.69837	13.98110	40.71728	0.99707	0.00000
0038	47.98658	42.82888	13.59312	29.23576	0.99902	0.53418
0039	57.16140	47.04073	12.95299	34.08774	0.99902	0.00000
0040	31.98964	33.77693	12.85489	20.92204	0.99902	0.97754
0041	59.09734	56.69263	17.39168	39.30095	0.99902	0.00000
0042	59.47572	50.01419	13.88118	36.13301	0.99902	0.00000
0043	39.93227	32.25115	10.10776	22.14339	0.99902	0.92480
0044	34.81189	37.27657	13.79155	23.48502	0.99902	0.93262
0045	61.10224	46.84925	11.91316	34.93609	0.99902	0.00000
0046	35.93424	36.17722	12.85105	23.32617	0.99902	0.92871
0047	68.31714	60.16514	16.78829	43.37686	0.99707	0.00000
0048	40.82020	41.89453	14.95031	26.94422	0.99902	0.77441
0049	47.85260	41.61016	12.74744	28.86272	0.99902	0.55957
0050	42.39912	40.73907	13.99903	26.74004	0.99902	0.76074
0051	74.05690	68.95146	19.68625	49.26521	0.99316	0.00000
0052	50.28306	49.44702	15.91951	33.52751	0.99902	0.17871
0053	53.48431	41.48824	11.09403	30.39420	0.99902	0.34863
0054	52.26796	47.13615	14.73049	32.40566	0.99902	0.22363
0055	82.91611	76.52617	21.28994	55.23623	0.98535	0.00000
0056	78.76096	77.08967	23.93896	53.15071	0.98926	0.00000
0057	80.53460	67.64451	17.77047	49.87404	0.98730	0.00000
0058	64.44826	54.66179	15.27433	39.38747	0.99707	0.00000
0059	77.02339	73.36042	21.24035	52.12007	0.99121	0.00000
0060	40.57679	34.22369	10.72452	23.49917	0.99902	0.88965
0061	66.22068	56.66938	16.04422	40.62516	0.99707	0.00000
0062	56.51837	45.51044	13.06063	32.44981	0.99902	0.13379
0063	58.75461	65.50593	21.79184	43.71409	0.99902	0.00000
0064	51.84929	56.40830	19.59862	36.80968	0.99902	0.00000
