Rep	theta_norm	Y_norm	MLE_Err	Bayes_Err	Win	bya	c_value	bya_breakpoint
0063	0.00000	7.69768	59.25431	2.13756	57.11675	13.63005	0.98730	0.00000
0064	0.00000	7.77729	60.48628	2.57756	57.90872	13.18421	0.98535	0.00000
0065	0.00000	7.18234	51.58596	0.24928	51.33669	16.92357	0.99121	0.00000
0066	0.00000	7.40603	54.84927	0.85530	53.99397	15.40114	0.98926	0.00000
0067	0.00000	7.75310	60.11051	2.43991	57.67059	13.31812	0.98730	0.00000
0068	0.00000	6.80657	46.32935	0.00000	46.32935	20.84144	0.99512	0.24316
0069	0.00000	7.70623	59.38600	2.18302	57.20298	13.58144	0.98730	0.00000
0070	0.00000	8.15274	66.46725	5.13094	61.33631	11.27169	0.98340	0.00000
0071	0.00000	7.82761	61.27154	2.87464	58.39689	12.91011	0.98535	0.00000
0072	0.00000	5.96313	35.55893	0.00000	35.55893	33.79646	0.99902	0.87793
0073	0.00000	6.22146	38.70652	0.00000	38.70652	29.98158	0.99902	0.75293
0074	0.00000	8.39676	70.50561	7.18386	63.32175	10.17762	0.98145	0.00000
0075	0.00000	6.26606	39.26357	0.00000	39.26357	29.30923	0.99902	0.72559
0076	0.00000	6.59584	43.50514	0.00000	43.50514	24.21361	0.99707	0.45996
0077	0.00000	6.45927	41.72213	0.00000	41.72213	26.35075	0.99902	0.58301
0078	0.00000	6.84230	46.81701	0.00000	46.81701	20.26065	0.99316	0.20410
0079	0.00000	8.50056	72.25950	8.14458	64.11492	9.74364	0.97949	0.00000
0080	0.00000	7.64998	58.52224	1.89189	56.63035	13.90455	0.98730	0.00000
0081	0.00000	6.05499	36.66293	0.00000	36.66293	32.45519	0.99902	0.84082
0082	0.00000	6.98659	48.81240	0.01352	48.79888	18.38966	0.99121	0.04199
0083	0.00000	7.20876	51.96616	0.30270	51.66345	16.73564	0.98926	0.00000
0084	0.00000	8.06564	65.05460	4.47100	60.58360	11.68921	0.98340	0.00000
