"","school","mean","sigma_n","prior_mean","prior_sd"
"1",1011,47.3064516129032,1.5716470412683,48.0884038389471,3.58776437292074
"2",1012,51.0806666666667,2.25938497667174,49.6762064477767,3.58776437292074
"3",1021,39.9976470588235,2.12232263295705,43.3199911704138,3.58776437292074
"4",1022,47.0048387096774,1.5716470412683,50.6724305780673,3.58776437292074
"5",1032,48.735,2.33868563654505,45.8832475954465,3.58776437292074
"6",1033,49.285652173913,1.82461797183327,49.6138955055142,3.58776437292074
"7",1041,53.305,2.062526863019,51.9962716457194,3.58776437292074
"8",1042,55.8775,1.78620065936228,51.9755013316319,3.58776437292074
"9",1051,51.4833333333333,1.5232770405236,52.0793529020695,3.58776437292074
"10",1052,50.138125,2.18764009683022,46.4651131439026,3.58776437292074
"11",1061,52.7286363636364,1.86562574308984,52.6179295323899,3.58776437292074
"12",1062,54.3891666666667,2.5260691975899,51.2750664406109,3.58776437292074
"13",1071,49.8896666666667,1.5976264383156,51.2750664406109,3.58776437292074
"14",1072,44.7775,1.65370047266458,51.2750664406109,3.58776437292074
"15",1081,57.7738888888889,2.062526863019,52.5971592183024,3.58776437292074
"16",1082,53.5869565217391,1.82461797183327,52.5763889042149,3.58776437292074
"17",1091,50.9403703703704,1.6840461317266,52.5971592183024,3.58776437292074
"18",1092,55.7345833333333,1.78620065936228,52.5348482760399,3.58776437292074
"19",1101,54.2064,1.75011207746418,51.9755013316319,3.58776437292074
"20",1111,52.1604,1.75011207746418,50.2580719962329,3.58776437292074
"21",1112,54.9464705882353,2.12232263295705,48.7325803296657,3.58776437292074
"22",1121,49.2041176470588,2.12232263295705,48.7325803296657,3.58776437292074
"23",1132,48.4575,1.65370047266458,50.2165313680578,3.58776437292074
"24",1141,58.9130769230769,1.71612608345466,52.6179295323899,3.58776437292074
"25",1142,53.42,2.062526863019,52.6179295323899,3.58776437292074
"26",1151,47.7461538461538,1.71612608345466,51.2958367546984,3.58776437292074
"27",1152,56.0832142857143,1.65370047266458,52.6179295323899,3.58776437292074
"28",1161,44.1572222222222,2.062526863019,48.7533506437533,3.58776437292074
"29",1171,59.632,3.91336957345328,52.5971592183024,3.58776437292074
"30",1172,51.446875,2.18764009683022,52.017041959807,3.58776437292074
"31",1181,48.99875,3.09379029452849,50.2165313680578,3.58776437292074
"32",1191,49.6654166666667,1.78620065936228,51.2335258124359,3.58776437292074
"33",1192,44.2007142857143,1.65370047266458,51.3166070687859,3.58776437292074
"34",1201,53.9496774193548,1.5716470412683,52.6179295323899,3.58776437292074
"35",1202,53.4496153846154,1.71612608345466,50.2580719962329,3.58776437292074
"36",1211,42.08,1.5716470412683,48.7118100155782,3.58776437292074
"37",1212,44.3428125,1.54689514726425,48.7118100155782,3.58776437292074
"38",1221,49.3346153846154,1.71612608345466,52.017041959807,3.58776437292074
"39",1222,54.4157692307692,1.71612608345466,52.5763889042149,3.58776437292074
"40",1231,50.4433333333333,1.5976264383156,50.2165313680578,3.58776437292074
"41",1232,51.0196774193548,1.5716470412683,52.017041959807,3.58776437292074
"42",1241,52.3264285714286,1.65370047266458,51.4441544071241,3.58776437292074
"43",1242,51.9775,1.65370047266458,51.4441544071241,3.58776437292074
"44",1251,52.4306451612903,1.5716470412683,52.7454768707281,3.58776437292074
"45",1261,51.97125,2.18764009683022,51.4649247212116,3.58776437292074
"46",1262,54.309,1.5976264383156,52.7454768707281,3.58776437292074
"47",1271,49.1117647058824,2.12232263295705,51.4649247212116,3.58776437292074
"48",1272,55.3592,1.75011207746418,52.1653596122326,3.58776437292074
"49",1281,53.6883333333333,2.062526863019,52.1653596122326,3.58776437292074
"50",1282,48.551875,2.18764009683022,51.4026137789491,3.58776437292074
"51",1291,49.8592592592593,1.6840461317266,52.7039362425531,3.58776437292074
"52",1292,50.0095833333333,1.78620065936228,52.7870174989031,3.58776437292074
"53",1301,47.5489473684211,2.00751623303589,50.4370194992988,3.58776437292074
"54",1302,39.3709523809524,1.90952882610381,51.1997653325824,3.58776437292074
"55",1311,39.46375,2.18764009683022,45.606295888503,3.58776437292074
"56",1312,40.149375,2.18764009683022,43.0430394634703,3.58776437292074
"57",1321,46.8988235294118,2.12232263295705,43.1053504057329,3.58776437292074
"58",1322,41.6789655172414,1.62493827036227,50.4993304415614,3.58776437292074
"59",1331,52.8251724137931,1.62493827036227,51.2205356466699,3.58776437292074
"60",1332,44.3663636363636,1.86562574308984,45.6270662025905,3.58776437292074
